,1m,1w
GILD,3.4400233565167913,3.2462095153004245
GLBE,-10.832635494786208,-0.28028698498023863
GLNG,-1.2820470253212095,12.026164383924339
GLPI,-3.4057690082074177,0.4345009086322383
GMAB,0.6619446785919095,1.2363301017243502
GNTX,-0.8723623878217632,-1.6848768092453257
GO,-20.098875402769757,-0.4792284350034142
GOGL,-3.562171321295418,3.835426672820548
GOGO,38.30911531843431,-18.26697951550815
GOOG,7.352850939109285,0.4302857957598878
GOOGL,8.04156424877322,0.40967532453615496
GRAB,0.40983566511258146,-1.209676256413027
GRAL,20.36527538310919,7.093113148130784
GRPN,62.49314464721066,10.94863167581853
GT,4.136947981011012,1.7978431537366681
GTLB,-0.3209756863104103,-2.6162897713329776
GTM,10.806065323790797,-0.6806338508838863
GTX,16.268980006042696,-4.114490389897536
HALO,-10.810810139368746,1.9162767986918603
HAS,8.526480468855556,0.13553665033509013
HBAN,7.432897065065597,1.1665544260623673
HIMX,18.144071634411908,1.7591229909174708
HLMN,4.148790388927226,-1.3550122368818416
HOLX,8.513742184540762,15.92327332957325
HON,7.281700813102905,0.46952008676964835
HOOD,31.683969385481873,-0.15439011780742237
HSAI,10.845300230980838,-3.6060971315785784
HSIC,13.02139283595522,2.944060591916072
HST,9.313035019231869,4.0795718073035125
HTHT,4.4976548637220635,0.9308829598176263
HTZ,-2.7859245225528237,-8.677687253157963
HUT,27.376115115226085,-8.196719114659683
IAS,13.083446837885148,-0.06250143051147461
IBB,-2.2436434872829967,1.9107228873419535
IBKR,21.63222954474381,1.1150312800745106
IBRX,2.390435976394851,-4.104482491580844
ICLR,-13.833859357172134,2.7561285835670444
IDYA,-0.1987034766333675,7.54817893135383
IEF,-1.5581073185764933,0.8181811653993984
IEP,0.8967414925478592,-2.243217568684534
ILMN,8.002576297142113,4.0600901488641306
IMVT,-8.204333378094024,1.8200507006263793
INCY,5.3622674813860005,2.3407137758997
INOD,0.9122189938841788,5.573995310085806
INSM,-4.458332061767578,3.975207236761687
INTC,0.3975066304086974,-1.8009734068255054
INTR,10.196377679814072,2.601968204016015
INTU,19.88541766775598,12.937827382313266
IONS,8.791927201015795,0.45099679329145426
IQ,-10.326089879008403,-2.3668686217741897
IREN,43.2896877762446,-5.657323638329282
ISRG,7.721988761626469,2.388195842923911
JANX,-27.16867545326243,-4.08567559183797
JAZZ,-6.9040672122527456,0.9877596405311196
JBLU,17.54586796007648,3.955378873250199
JD,0.8583770789779184,-2.3449009588376146
KC,-13.134656566373906,-11.968676812073674
KDP,-4.6111628033161285,-0.04543892884312279
KHC,-8.17869772136075,0.8301860881301591
KLAC,11.296331704109559,1.652094762862226
KTOS,8.037300919773458,3.6789719911277947
LBRDK,4.015927954341462,-3.0021702805606916
LBTYA,-13.19634447483332,-1.4004172621772286
LBTYK,-14.241620364966279,-1.5688231900386211
LCID,-3.5896434388394125,-9.026320962128285
LEGN,-16.59513882059605,0.34423540136328484
LFST,-9.284628882439613,5.861455008848166
LI,18.81918928844242,1.0812677541591942
LIF,46.94638385385424,3.9406419283083487
LIN,2.2703655490399886,0.9847470618021514
LITE,29.607038374794257,0.8434362319637657
LKQ,5.569195003323275,-1.1355198803554194
LNT,0.7863688319739621,0.5064554450706644
LNTH,-28.22503160999973,0.18729015337583613
LNW,6.576488256960304,10.955981436783988
LQDA,5.010735833106861,-5.719796396667951
LRCX,18.09683487102842,2.519382137309884
LSCC,-6.4173295934279615,-3.457725867797376
LULU,18.10578217794554,-0.2075073472742591
LUNR,47.50000668735054,5.541014195184178
LX,-7.5796152537596795,-6.14488878991622
LYFT,24.072586307912836,-3.7836119505711605
LZ,25.5464394107726,-3.870301495742333
MAR,10.471284021423248,1.1018344816448553
MARA,10.844425473989336,-5.304153864172643
MAT,21.05097668191325,-1.0545263275425745
MBLY,13.099455934686521,3.126334115238928
MCHP,26.273511944314233,-0.5340181958104832
MDB,9.696815648354967,0.15113143458589234
MDLZ,-1.41640448670679,2.5576471314628946
META,17.714937137124316,1.521434790700243
MGNI,35.239692677858855,3.0769200673000614
MLCO,24.563103748745522,4.13961234995885
MNKD,-17.956344044067325,-2.0142077141182564
MNST,5.264472674248134,0.6600937212945847
MQ,28.110053564329384,2.9807733748793006
MRNA,-5.518572923669969,0.9169193320710473
MRUS,21.0942708039523,32.47596786484234
MRVL,9.902351721368285,3.71867923767236
MSFT,16.24803742160709,0.831031398366116
MSTR,-2.4256060241610014,-7.152149756617993
MTCH,1.5846234516939843,2.30899280207447
MTSR,14.267932557546391,-1.7650234904146638
MU,26.231326820669064,2.4306656761246055
MVST,101.2953417640863,9.43662091962547
NBIS,75.7589158271004,5.687834839348261
NBIX,15.456399169572766,4.377935038320222
NCNO,17.65085852883245,2.3818463335192988
NDAQ,8.843981032329873,2.142590670342981
NEOG,22.67326609268694,0.08077729232143507
NEXT,2.74064068426897,3.4320339210281916
NFLX,4.990632129046872,0.019359114659597096
NMRK,-0.24833999943452323,4.541112616992635
NN,3.644924786425329,0.02097787112473475
NNE,36.92307524628692,12.985128630154236
NTAP,10.484683746082869,-0.6213621214396541
NTES,16.02839907848656,4.369017580492134
NTNX,8.275117089555769,-6.8557455951376705
NTRA,5.684756011010835,4.610440042153807
NTRS,13.784841177816762,0.5028158130098528
NVAX,7.5712160219571,-1.5775002979414632
NVDA,29.131469207631465,5.887218216992775
NVEE,20.107825353075437,0.5415200363704532
NVTS,193.52332206280502,12.178212829506267
NWL,11.610874560210016,-5.407798502815833
NWSA,3.7979304845994615,1.808318288962701
NXPI,6.538553879727857,-0.0757154629828569
NXT,38.16793835764933,0.10704973078990232
OCUL,-2.8915634409993314,11.711715165047117
ODD,18.6359079373955,6.2689956250275305
ODFL,5.623692057565295,-1.0391272271442282
OKTA,-4.0211315719518,-13.12250894826789
OLLI,5.0984789384565055,-2.4322015174685094
ON,8.438283147964993,1.797111149397397
ONB,1.6027193844608985,0.819277476115399
OPCH,-0.572582375202084,0.29660076279656505
OPK,-3.985503459272189,4.330713982930731
OS,31.915888062876196,-0.7384000980232317
OTEX,3.8177095558517067,0.016354514893694636
OXLC,-2.203970627093384,-0.33481844691370877
PAA,-3.3665042293339087,-0.6919474889274515
PAGP,-3.8608876295790733,-0.8752048972874937
PANW,-1.3106494646322266,-0.8918038398799365
PARA,2.5485525026965266,1.510962711735204
PAYO,-2.4893340755623403,-0.21833867154970135
PAYX,7.556363523166374,0.5954718774388369
PCAR,4.665433866255016,-0.2491260529947294
PCT,46.7213146208505,7.595635819383458
PCVX,-8.342638576274947,-3.24006557908283
PDD,-6.247041053109388,-17.383141942525317
PEGA,4.2680280484642195,-3.4201804653738628
PENN,-0.8212877648286798,2.967260737683355
