,6m,3m,1m
CYTK,-38.34825961744014,-32.6521749081819,-27.684408422288765
CZR,-30.847281849046364,-17.941001724307405,0.739101134097114
DASH,14.383022685073088,3.235233869159499,6.2056100671777505
DBX,0.15778427619798813,9.94996550180376,0.052543948854461744
DDOG,-24.682374038763538,1.2183596154130654,15.475721409412593
DJT,-30.92715255613249,-11.867633805846634,-13.447841089728701
DKNG,-17.011624713276706,-18.63884889032841,7.194353835678569
DLO,0.500844494253526,19.380917020615264,28.890913881319342
DLTR,28.045285235273564,22.63244266488068,9.269906007385686
DOCU,-0.08186141161907418,2.7293547221797705,4.513764454319572
DXCM,9.745597977676253,-3.343896955088621,19.662376298896987
EA,-12.6742750262498,10.722507840432874,-1.4646726310823561
EBAY,12.821047241470538,12.781220034804019,6.638781768434457
ENPH,-45.862886493373004,-32.09489087424368,-12.693428634320417
ENTG,-32.81645229773633,-28.37667642145264,-8.487112909731595
ERIC,6.216963015681016,5.185726241032147,3.501211652511624
ETOR,,,
ETSY,-5.280169918453995,3.027941186443166,21.297153251428472
EVRG,4.68690025986953,-2.027903203207275,-3.2891499945065945
EXAS,4.5339137244701,21.57772532200237,26.29272603084589
EXC,13.711305419631254,-0.2600779328210375,-6.002038277903822
EXE,18.318501916369375,18.306549904620233,11.937134048658253
EXEL,17.26222813336005,10.261052886061623,8.96551260467519
EXLS,-1.5180651646857075,-4.932919199201756,-4.991745445123163
EXPD,-7.229842909938335,-3.834355808279609,2.6840113274049284
EXPE,-10.307593050056232,-16.596394532012766,4.9894871576471305
EXTR,-2.516670794050414,4.045313665955598,22.150463140777113
FA,-14.353944845881623,13.870319545280948,20.815598486079264
FANG,-22.25827540282765,-12.188431066249477,4.997423084784002
FAST,-0.7768818130417249,9.101806705759593,1.4943794815743106
FITB,-20.02127321183392,-11.6490649220857,5.843078378021229
FIVE,26.23075932670781,33.08781240873746,52.37844290379845
FIVN,-34.391021821147774,-25.74586023687162,6.9212403077249895
FLEX,2.0331119811960594,10.596462006661676,22.029698873309062
FOX,14.405488867985456,-7.515000479031028,7.5908265443851635
FOXA,18.3853906760865,-5.291676429663798,9.037959263416372
FRPT,-48.12839125320555,-25.035035480284755,9.103888511661177
FRSH,-8.328272192667017,-11.606093811369028,2.09884533740441
FSLR,-18.914012983818814,14.811289846193013,24.264827915070562
FTAI,-28.974193012437755,-7.149390596438492,11.244216648012785
FTNT,9.32130589471485,-5.749466680539577,-1.8889736354277427
FUTU,32.5900748195101,-0.3480216817619534,17.87455360891612
FYBR,4.601489372382796,1.3753790186148527,0.6482775457974138
GBDC,4.513891577363029,-0.5890062445072447,6.075418324719186
